"il","bolge","GSYH","bebek_olum_hizi","cocuk_olum_hizi","derslik_basina_ogrenci","girisim_sayisi","hastane_sayisi","hastane_yatak_sayisi","ihracat","isgucune_katilma_orani","issizlik_orani","istihdam_orani","kutuphane_sayisi","muze_sayisi","ogretmen_basina_ogrenci","sinema_sayisi","tiyatro_sayisi","toplam_hekim_sayisi"
"Kayseri","İç Anadolu",228.426097074082,10.45,12.5666666666667,23.5,0.0489685348233903,1.86644236177128e-05,334.166666666667,2.2772981712183,50,8.55,45.75,1.86644236177128e-05,2.07382484641253e-06,18,2.47130794197493e-05,6.73993075084073e-06,2.25
"Kilis","Güneydoğu Anadolu",189.460373892895,12.925,15.3833333333333,26.75,0.0406850487401478,1.3105713304658e-05,281.5,0.608261055324458,51.95,10.125,46.675,2.29349982831516e-05,8.19107081541127e-06,20.5,1.9658569956987e-05,8.19107081541127e-06,2
"Kocaeli","Marmara",445.136988336947,7.55,9.18333333333333,22.75,0.047883724863531,1.39198258008754e-05,246,6.21702288571647,58.25,9.25,52.9,6.78145359529827e-06,1.66562018130133e-06,18.75,2.9862190393331e-05,1.09455040485516e-05,2
"Konya","İç Anadolu",218.251339063639,8.375,10.1,22.5,0.0520424935061163,2.01002192609724e-05,374.666666666667,1.44306597765132,52.025,6.95,48.425,1.696631410738e-05,4.21456210310712e-06,18,1.80469710568946e-05,6.59200739203934e-06,2.25
"Kütahya","Ege",214.340828020584,7.35,8.53333333333333,16.25,0.0449571729673976,2.4769074012079e-05,347.833333333333,0.524456027680179,52.05,6.8,48.525,3.25908868579986e-05,5.21454189727978e-06,14,1.86854417985859e-05,7.38726768781303e-06,2
"Kırklareli","Marmara",294.17829998739,5.875,7.48333333333333,16.75,0.053285693981059,2.67166517409639e-05,269.833333333333,0.841609261487626,54.1,7.7,49.925,3.13920657956326e-05,2.67166517409639e-06,15.75,3.33958146762049e-05,9.35082810933736e-06,2
"Kırıkkale","İç Anadolu",237.229453112931,7.25,9.18333333333333,16.5,0.0401401496894936,2.49173988229021e-05,446.166666666667,0.0866093186800043,46.775,11.575,41.35,4.71650763433504e-05,0,14.75,2.66972130245379e-05,3.55962840327173e-06,2.25
"Kırşehir","İç Anadolu",195.65215042984,10.175,13.15,17,0.0422178622137295,2.45506213353083e-05,227.5,1.30107163462129,46.225,10.225,41.525,4.09177022255138e-05,9.20648300074061e-06,13.75,2.45506213353083e-05,7.16059788946492e-06,2
"Malatya","Doğu Anadolu",178.41357333538,9.275,12.6833333333333,20,0.0393130632900142,2.48686033430637e-05,415.5,0.517183752753633,49.575,6.75,46.225,2.648344771599e-05,3.87562649502292e-06,15,1.55025059800917e-05,1.00120351121425e-05,2.25
"Manisa","Ege",253.675478974616,8.6,10.55,20.75,0.049966989541362,1.93779211366205e-05,328.333333333333,2.25019901464971,56.175,6.325,52.625,1.44484499702872e-05,1.35985411485056e-06,15.75,3.2976462285126e-05,4.92947116633328e-06,2
