"il","bolge","bebek_olum_hizi_norm","cocuk_olum_hizi_norm","hastane_sayisi_norm","hastane_yatak_sayisi_norm","toplam_hekim_sayisi_norm","derslik_basina_ogrenci_norm","ogretmen_basina_ogrenci_norm","muze_sayisi_norm","kutuphane_sayisi_norm","sinema_sayisi_norm","tiyatro_sayisi_norm","GSYH_norm","isgucune_katilma_orani_norm","issizlik_orani_norm","istihdam_orani_norm","girisim_sayisi_norm","ihracat_norm","saglik_skoru","egitim_skoru","kultur_skoru","ekonomi_skoru","yasanabilirlik_endeksi"
"Gümüşhane","Karadeniz",0.586497890295359,0.7260663507109,0.531295714378281,0.296934061318774,0.307692307692308,0.986486486486487,0.941176470588235,0.433909354618796,0.596693776176893,0.202530073055116,0.442922061190393,0.146967794076034,0.52099886492622,0.602465331278891,0.44136460554371,0.284099020743244,0.0684575711454432,0.6195,0.9734,0.5417,0.3366,0.7445
"Hakkari","Doğu Anadolu",0.276371308016878,0.442654028436019,0.143815255890819,0.0768584628307434,0.0769230769230769,0.5,0.686274509803922,0,0.100352660611162,0.0153159788894581,0.0403832677716539,0.156100715676733,0.245175936435868,0,0.0181236673773986,0.0519497870192753,0.0407800134738297,0.186,0.599,0,0,0.1803
"Hatay","Akdeniz",0.310126582278481,0.1260663507109,0.0885843054806548,0.360352792944141,0.307692307692308,0.391891891891892,0.666666666666667,0.146631790059856,0.100838422820343,0.237285058652699,0.202189698462623,0.280497796646919,0.432463110102157,0.485362095531587,0.331556503198294,0.407621834803282,0.291303117504658,0.2394,0.5345,0.1892,0.3722,0.3644
"Isparta","Akdeniz",0.721518987341772,0.845497630331754,0.403036807132337,0.862242755144897,0.615384615384615,0.783783783783784,0.96078431372549,0.422517079568482,0.649479997754335,0.718149574740093,0.217788434585327,0.309366320833929,0.65266742338252,0.836671802773498,0.640724946695096,0.561592757951924,0.0907262272531104,0.9221,0.8809,0.6599,0.5593,0.9289
"Iğdır","Doğu Anadolu",0.440928270042194,0.616113744075829,0.170580929888864,0.0613187736245275,0,0.72972972972973,0.862745098039216,0.305733363541514,0.141610634739926,0.0835162697590404,0.201795551055735,0.123575521400841,0.627695800227015,0.489984591679507,0.491471215351812,0.164096794512904,0.0534041906830346,0.2685,0.8041,0.2055,0.3118,0.4496
"Kahramanmaraş","Akdeniz",0.320675105485232,0.158293838862559,0.101264573431813,0.325073498530029,0.307692307692308,0.324324324324324,0.588235294117647,0.109445353814612,0.0833748829156598,0.125206834920644,0.051914331542093,0.252382107267408,0.431328036322361,0.491525423728814,0.332622601279318,0.319441440435134,0.146396203097102,0.2455,0.4608,0.0762,0.3169,0.2855
"Karabük","Karadeniz",0.69620253164557,0.940284360189573,0.243289936047201,0.414951700965981,0.307692307692308,0.662162162162162,0.862745098039216,0.187650545604725,0.25171660656196,0.968869404037853,0.279533145990724,0.301211480697007,0.45516458569807,0.600924499229584,0.389125799573561,0.529778071868418,0.169955495487595,0.6661,0.77,0.5458,0.4194,0.7211
"Karaman","İç Anadolu",0.776371308016878,0.879620853080569,0.227674445415093,0.267534649307014,0.307692307692308,0.824324324324324,0.862745098039216,0.420420283897547,0.239803891058546,0.229618711633568,0.491727469367491,0.446443020790293,0.656072644721907,0.827426810477658,0.640724946695096,0.501941443700542,0.162982131454554,0.6227,0.8519,0.4367,0.5905,0.7548
"Kars","Doğu Anadolu",0.417721518987342,0.587677725118483,0.328849522395835,0.382192356152877,0.307692307692308,0.918918918918919,0.941176470588235,0.457164209920234,0.272995725209661,0,0.307593136893944,0.144409844563703,0.772985244040863,0.822804314329738,0.739872068230277,0.188719115240136,0.000953889945451996,0.4911,0.9393,0.3142,0.4678,0.6579
"Kastamonu","Karadeniz",0.841772151898734,0.93175355450237,0.713731929772598,0.441831163376732,0.307692307692308,0.77027027027027,0.843137254901961,0.330167350791916,0.463095283436899,0.730329022701225,0.622543030851341,0.327994774927939,0.771850170261067,1,0.808102345415778,0.529124949805211,0.111748802164986,0.8582,0.8147,0.7092,0.6585,0.935
"Kayseri","İç Anadolu",0.531645569620253,0.669194312796209,0.157717073770699,0.50944981100378,0.384615384615385,0.391891891891892,0.607843137254902,0.130411231171744,0.146097810973882,0.402112953054127,0.185603785997,0.372000508387745,0.476730987514188,0.755007704160246,0.460554371002132,0.532067104930317,0.31202270844795,0.5602,0.5048,0.2524,0.5196,0.5323
"Kilis","Güneydoğu Anadolu",0.322784810126582,0.509004739336493,0.0663820465732755,0.376732465350693,0.307692307692308,0.216216216216216,0.411764705882353,0.515090573584648,0.190399269014428,0.309672123009081,0.228107061807406,0.259082997848751,0.565266742338252,0.657935285053929,0.5,0.393110983815015,0.0830919883350351,0.3574,0.3171,0.3874,0.422,0.4142
"Kocaeli","Marmara",0.776371308016878,0.861611374407583,0.0797587082081059,0.28727425451491,0.307692307692308,0.432432432432432,0.549019607843137,0.104741525729025,0.0228280079411851,0.496283929663955,0.30878324067382,1,0.851305334846765,0.711864406779661,0.76545842217484,0.513869333767974,0.85240854369865,0.5784,0.4956,0.2767,0.907,0.6731
"Konya","İç Anadolu",0.706751054852321,0.809478672985782,0.181308595318257,0.611507769844603,0.384615384615385,0.445945945945946,0.607843137254902,0.26503020911663,0.128482212813504,0.280197939387153,0.181271173679665,0.342515405813527,0.568671963677639,0.853620955315871,0.574626865671641,0.583633000101483,0.197596627088827,0.6938,0.5321,0.2491,0.5656,0.6004
"Kütahya","Ege",0.793248945147679,0.898578199052133,0.258022428502127,0.543889122217556,0.307692307692308,0.783783783783784,0.92156862745098,0.327913338485301,0.290566102767427,0.291874792651795,0.204564009786659,0.331183262178882,0.569807037457435,0.86286594761171,0.578891257995735,0.464776198867682,0.0715970100957928,0.7264,0.8611,0.3417,0.5132,0.7349
"Kırklareli","Marmara",0.917721518987342,0.958293838862559,0.290023028428883,0.347333053338933,0.307692307692308,0.756756756756757,0.784313725490196,0.168006061473947,0.278129949520338,0.560909619690397,0.262075860092539,0.562541693287661,0.662883087400681,0.807395993836672,0.638592750533049,0.604487784431502,0.115098809732402,0.7323,0.7782,0.3966,0.6242,0.7646
"Kırıkkale","İç Anadolu",0.80168776371308,0.861611374407583,0.260459549680895,0.791684166316674,0.384615384615385,0.77027027027027,0.862745098039216,0,0.441753681616126,0.438400343294108,0.0924540817475957,0.397511469487401,0.330306469920545,0.568567026194145,0.272921108742004,0.38397026000412,0.0115404892216007,0.8168,0.8246,0.291,0.315,0.6696
"Kırşehir","İç Anadolu",0.554852320675105,0.636018957345971,0.254433038148875,0.240655186896262,0.307692307692308,0.743243243243243,0.941176470588235,0.578944159611773,0.37694559276926,0.39914179229483,0.197924947719325,0.27702594706888,0.305334846765039,0.651771956856703,0.280383795309168,0.418824048645664,0.178120207486008,0.4818,0.8505,0.4978,0.3468,0.646
"Malatya","Doğu Anadolu",0.630801687763713,0.662559241706161,0.259657792397793,0.714405711885762,0.384615384615385,0.581081081081081,0.843137254901961,0.243716446763619,0.22720965074832,0.233662768080589,0.281442332216178,0.227070831346022,0.457434733257662,0.865947611710324,0.480810234541577,0.370095821543798,0.0705995205133626,0.6812,0.7192,0.2958,0.425,0.6273
"Manisa","Ege",0.687763713080169,0.783886255924171,0.169440533282824,0.4947501049979,0.307692307692308,0.540540540540541,0.784313725490196,0.0855136100999085,0.102362764926564,0.553240174534879,0.13257619414515,0.445169876593726,0.757094211123723,0.892141756548536,0.753731343283582,0.548816260216434,0.308305697382934,0.618,0.669,0.2557,0.6924,0.6655
"Mardin","Güneydoğu Anadolu",0.381856540084388,0.504265402843602,0.0740120432933996,0.120117597648047,0,0.337837837837838,0.450980392156863,0.0888902433839075,0.066856241710609,0.301729487008521,0.145522737523725,0.136046725400492,0.163450624290579,0.503852080123267,0.115138592750533,0.150301142787663,0.15433061948976,0.2053,0.3983,0.1593,0.1542,0.2245
"Mersin","Akdeniz",0.732067510548523,0.78957345971564,0.0786200441669826,0.338093238135237,0.307692307692308,0.22972972972973,0.647058823529412,0.260480602377237,0.0773607852632747,0.35969690382328,0.227050052437938,0.445949126963064,0.545970488081725,0.819722650231125,0.541577825159914,0.562761432424738,0.212948586765794,0.5582,0.4427,0.2739,0.5674,0.5341
"Muğla","Ege",0.831223628691983,0.913744075829384,0.206391835489378,0.241915161696766,0.307692307692308,0.648648648648649,0.901960784313726,0.473039464588087,0.0890397823519018,0.68960599610861,0.33934007497404,0.520693214468987,0.719636776390465,0.841294298921417,0.700426439232409,1,0.137805190942368,0.6354,0.783,0.5114,0.7389,0.8106
"Muş","Doğu Anadolu",0.229957805907173,0.42654028436019,0.140649794133505,0.145317093658127,0,0.702702702702703,0.686274509803922,0.316680406317654,0.16144283799048,0.088291892099195,0.338506031785002,0.0598001518296379,0.393870601589103,0.517719568567026,0.309168443496802,0.0649373234312448,0.0378216404459356,0.1636,0.7014,0.2669,0.1889,0.3595
"Nevşehir","İç Anadolu",0.447257383966245,0.591469194312796,0.386683958513842,0.324653506929861,0.153846153846154,0.837837837837838,0.901960784313726,1,1,0.764469848395177,0.197789920525823,0.273656760045257,0.614074914869467,0.87211093990755,0.62046908315565,0.708834138424331,0.0429141153388038,0.4547,0.8785,1,0.5681,0.8884
"Niğde","İç Anadolu",0.449367088607595,0.608530805687204,0.205650406332347,0.299034019319614,0.0769230769230769,0.810810810810811,0.803921568627451,0.169643859149337,0.379252397435517,0.221498855234328,0.0869625437997322,0.261110315675985,0.52099886492622,0.7442218798151,0.492537313432836,0.453408743392645,0.0279492738146057,0.3746,0.8154,0.2499,0.4311,0.5437
"Ordu","Karadeniz",0.820675105485232,0.925118483412322,0.236277801016326,0.417471650566989,0.307692307692308,0.621621621621622,0.823529411764706,0.0819093121037028,0.290281447264495,0.414666537718201,0.312475713021479,0.146229391253317,0.720771850170261,0.838212634822804,0.699360341151386,0.442416690758322,0.0637072437778153,0.6979,0.7297,0.3361,0.5201,0.6818
"Osmaniye","Akdeniz",0.580168776371308,0.646445497630332,0.144949472118454,0.331793364132717,0,0.432432432432432,0.705882352941177,0.168725563604479,0.100925528162572,0.195494592461377,0.119172510268949,0.222742477037701,0.393870601589103,0.457627118644068,0.291044776119403,0.365066728700017,0.0618084263336719,0.3939,0.5748,0.1526,0.2776,0.3857
"Rize","Karadeniz",0.829113924050633,0.875829383886256,0.372176957797714,0.483830323393532,0.384615384615385,0.851351351351351,0.862745098039216,0.362632546531127,0.431049646903707,0.925692767293925,0.347112594290976,0.246279458581947,0.81044267877412,0.764252696456086,0.750533049040511,0.520236497781013,0.084862632986973,0.77,0.8655,0.6808,0.5777,0.886
"Sakarya","Marmara",0.848101265822785,0.910900473933649,0.128719470984072,0.210415791684166,0.307692307692308,0.527027027027027,0.725490196078431,0.0574444244897094,0.099361490581934,0.526520758464348,0.202240523310278,0.447496060835968,0.832009080590239,0.75808936825886,0.766524520255863,0.549806897796521,0.716568901056806,0.6066,0.6325,0.26,0.7716,0.6774
"Samsun","Karadeniz",0.732067510548523,0.801895734597156,0.155006828333856,0.630407391852163,0.461538461538462,0.716216216216216,0.862745098039216,0.136862172517555,0.0917063131184272,0.378032423556502,0.0944375684769975,0.264045000733745,0.687854710556186,0.781201848998459,0.65138592750533,0.495751413542494,0.127830714467374,0.7202,0.7973,0.1942,0.5412,0.6715
"Siirt","Güneydoğu Anadolu",0.234177215189873,0.412322274881517,0.242366725921445,0.266694666106678,0,0.567567567567568,0.627450980392157,0.140406662598056,0.17637912337745,0.549050065649113,0.05359108445864,0.112332888212462,0,0.563944530046225,0,0.0439652761949141,0.020073358576927,0.2281,0.6034,0.272,0.0495,0.3034
"Sinop","Karadeniz",0.748945147679325,0.881516587677725,0.3637193705852,0.451070978580428,0.307692307692308,0.77027027027027,0.843137254901961,0.91097975623324,0.414875644718589,0.255842968819993,1,0.194975517480045,0.551645856980704,0.921417565485362,0.584221748400853,0.466668418088293,0.0246576713723092,0.7117,0.8147,0.8644,0.4839,0.8795
"Sivas","İç Anadolu",0.60337552742616,0.756398104265403,0.366143550468388,0.78202435951281,0.384615384615385,0.797297297297297,0.843137254901961,0.295708204826929,0.354924162204952,0.458982119317639,0.194791445782524,0.249010955441544,0.527809307604994,0.714946070878274,0.489339019189765,0.348354630050237,0.0225996256226164,0.754,0.8283,0.4092,0.399,0.7175
"Tekirdağ","Marmara",0.79957805907173,0.872985781990521,0.133433705282972,0.364552708945821,0.307692307692308,0.121621621621622,0.490196078431373,0.108076410588066,0.0416230670614638,0.547349887067069,0.283933304926928,0.716149018586639,0.909194097616345,0.824345146379045,0.859275053304904,0.529201188126149,0.247686345968726,0.6285,0.3089,0.294,0.7749,0.589
"Tokat","Karadeniz",0.723628691983122,0.835071090047393,0.257378225905739,0.612347753044939,0.307692307692308,0.702702702702703,0.92156862745098,0.311024574893579,0.196191665187412,0.63609756912929,0.0968431746218599,0.103123007835602,0.627695800227015,0.882896764252696,0.636460554371002,0.382202510792093,0.00808621883507587,0.7066,0.8202,0.3863,0.4615,0.7122
